"Story","Title","Result","Date","Stability","Duration (s)"
"Serenity initial tests","Get users fail","FAILURE","2021-01-17T21:44:02.6544538-05:00[America/Bogota]","0.0","4.03"
"Serenity initial tests","Get users","SUCCESS","2021-01-17T21:44:06.7244461-05:00[America/Bogota]","0.0","0.04"
